source,target,n,perplexity
fr,en,4,227.95470534870765
fr,es,4,198.09766259765073
fr,in,4,391.78249505959553
fr,it,4,234.92946593891958
fr,nl,4,276.535441681008
fr,pt,4,247.83369694861435
fr,tl,4,365.08864226034035
in,en,1,50.11980871438434
in,es,1,51.57431868880541
in,fr,1,55.43374461946224
in,it,1,52.0326654201175
in,nl,1,49.53740753535062
in,pt,1,57.18955585594563
in,tl,1,52.74138297296133
in,en,2,32.153407797458826
in,es,2,33.1637008762385
in,fr,2,37.559390048094606
in,it,2,31.873712334899736
in,nl,2,32.38658879434485
in,pt,2,37.741864884962425
in,tl,2,29.51593735159919
in,en,3,67.17759696628015
in,es,3,71.50378348126074
in,fr,3,82.28022431468827
in,it,3,72.92271628512857
in,nl,3,76.92238056645009
in,pt,3,82.02808990661453
in,tl,3,62.14936349283733
in,en,4,252.39881758960823
in,es,4,313.2497210803671
in,fr,4,328.236235501758
in,it,4,311.4900906485468
in,nl,4,314.6664503818067
in,pt,4,340.6434269413491
in,tl,4,226.27007316324935
it,en,1,48.93283178887752
it,es,1,46.416096005422794
it,fr,1,47.50418578816751
it,in,1,52.78200971846607
it,nl,1,48.67142089854243
it,pt,1,51.71373924547693
it,tl,1,57.41779926200744
it,en,2,34.33715141573894
it,es,2,26.72739439430801
it,fr,2,31.907097599958252
it,in,2,36.82368193623431
it,nl,2,36.15701031953402
it,pt,2,30.258972180860617
it,tl,2,36.53777796238853
it,en,3,74.20786960080623
it,es,3,50.406363811996236
it,fr,3,65.07629093336911
it,in,3,99.14796505378014
it,nl,3,92.45590414251902
it,pt,3,58.072358308286574
it,tl,3,87.1297854429886
it,en,4,269.752798229122
it,es,4,176.9758515420294
it,fr,4,239.46169460442147
it,in,4,390.7172956434385
it,nl,4,340.18881684958325
it,pt,4,199.36356777665313
it,tl,4,313.12785384241573
nl,en,1,48.18146221811802
nl,es,1,48.64471754994239
nl,fr,1,49.21785033381809
nl,in,1,50.56550041891661
nl,it,1,49.347927855242006
nl,pt,1,53.85787279576573
nl,tl,1,57.525532916104645
nl,en,2,29.578617472919408
nl,es,2,33.699610498752094
nl,fr,2,33.234518518226665
nl,in,2,33.28636064789631
nl,it,2,33.60833524232137
nl,pt,2,37.60672374546148
nl,tl,2,35.29264781031053
nl,en,3,57.56506288928533
nl,es,3,73.3046976930331
nl,fr,3,68.65135738337358
nl,in,3,83.86259345925372
nl,it,3,77.74616713260156
nl,pt,3,84.79887693247186
nl,tl,3,83.036069551829
nl,en,4,208.800019391666
nl,es,4,297.4470955108273
nl,fr,4,249.72565519582358
nl,in,4,364.05336777883576
nl,it,4,323.29310766200626
nl,pt,4,348.9681504734099
nl,tl,4,328.25992512807585
pt,en,1,49.92676888381066
pt,es,1,44.51045983826149
pt,fr,1,47.46897887524733
pt,in,1,51.96119811397658
pt,it,1,48.48865344133415
pt,nl,1,49.06767954931827
pt,tl,1,58.002381891543976
pt,en,2,36.24302084340138
pt,es,2,25.615076566701838
pt,fr,2,32.01187592395238
pt,in,2,39.37389707472905
pt,it,2,28.61658367355582
pt,nl,2,37.92203301721581
pt,tl,2,39.49144358528873
pt,en,3,85.38265245764693
pt,es,3,48.917790574273624
pt,fr,3,72.68787285197911
pt,in,3,110.05335983594051
pt,it,3,62.15077377055779
pt,nl,3,103.89216231006526
pt,tl,3,100.5738109114346
pt,en,4,320.16111190000566
pt,es,4,165.05015638548653
pt,fr,4,277.4054244237496
pt,in,4,444.1253072567478
pt,it,4,240.00385580229613
pt,nl,4,397.98362032277294
pt,tl,4,369.6745925108163
tl,en,1,49.57237514524518
tl,es,1,50.84766875243877
tl,fr,1,55.67322663715046
tl,in,1,47.35329883543554
tl,it,1,51.18324946673316
tl,nl,1,50.506273148182196
tl,pt,1,56.381146948515365
tl,en,2,29.8567333230451
tl,es,2,31.179906562777077
tl,fr,2,37.09833448426009
tl,in,2,28.233344846738376
tl,it,2,30.472465564752664
tl,nl,2,33.72459127095505
tl,pt,2,35.80223024141666
tl,en,3,58.12483025688441
tl,es,3,67.60580904064273
tl,fr,3,81.64263082517941
tl,in,3,63.43085042351417
tl,it,3,68.71364547750011
tl,nl,3,82.16918711226896
tl,pt,3,78.47652142050173
tl,en,4,201.26811841662655
tl,es,4,279.60141662175806
tl,fr,4,321.4231253551957
tl,in,4,259.149824287336
tl,it,4,284.23691299137784
tl,nl,4,331.1175143305954
tl,pt,4,307.6586931629635
